College Name|College ID|USN|Stundet Name|10th Percentage|12th Percentage|College CGPA|Course|Coding Test Time|Coding Test Score
Joseph Horton|JOSE|JOSE00000|Erica Torres|90.5|86.1 %|9.0|CSE-AI|20 Aug 2022 20:48:19+0800|14
Lauren Jones|LAUR|LAUR00001|Stacy Clark|81.9|95.3 Perc|9.6|CSE-AI|23 May 2023 15:25:53+0530|1
Timothy Rodriguez|TIMO|TIMO00002|Joshua Gomez|84.8|99.6 %|7.5|CSE-AI|03 Jan 2023 10:09:20+0000|0
Andrew Murphy|ANDR|ANDR00003|Crystal Yang|86.7|99.5 %|9.9|CSE-ML|08 Mar 2023 03:33:02+0800|10
Christopher Mcneil|CHRI|CHRI00004|Joseph Walter|98.2|80.0|8.3|CSE|24 Oct 2022 22:04:44+0000|9
William Webster|WILL|WILL00005|Brian Ortiz|94.1|88.5 Perc|8.3|CSE|23 Oct 2022 18:19:24-0300|11
Brandon Barker|BRAN|BRAN00006|Brenda Brooks|90.1|75.2 Perc|7.5|MECH|19 Apr 2023 01:42:32+0000|2
Brandon Barker|BRAN|BRAN00007|William Williams|91.5|80.4 %|9.3|MECH|20 Mar 2023 10:08:41+0800|5
Michael Green|MICH|MICH00008|Sherry Gomez|94.3|90.4 Perc|7.7|CSE-ML|03 Dec 2022 01:47:44+0000|11
Lauren Jones|LAUR|LAUR00009|Samuel Scott|82.6|93.0|8.3|CSE-ML|31 Oct 2022 16:03:27-0300|1
Timothy Rodriguez|TIMO|TIMO00010|Maria Scott|88.4|99.5 Perc|8.7|CSE-ML|18 Mar 2023 05:48:29+0000|13
Ryan Gonzalez|RYAN|RYAN00011|Lisa Mueller|87.5|99.3 %|9.5|MECH|08 Jun 2022 12:16:16-0400|4
Timothy Rodriguez|TIMO|TIMO00012|Steven Ross|89.1|78.7|9.2|CSE-ML|22 Oct 2022 15:49:52+0000|3
Pamela Harris|PAME|PAME00013|Christina Bush|77.8|79.5|9.9|CSE|31 Dec 2022 08:31:20+0800|8
Michelle Pineda|MICH|MICH00014|Sarah Jensen|84.3|76.1|7.9|MECH|09 Apr 2023 06:28:42+0000|0
Andrew Diaz|ANDR|ANDR00015|Kenneth Thornton|96.6|95.9|9.9|CSE-ML|20 Jul 2022 22:34:05+0530|5
Raymond Russell|RAYM|RAYM00016|Jeffrey Luna|89.1|78.9 Perc|8.0|MECH|01 Jan 2023 08:33:06+0530|8
Michael Green|MICH|MICH00017|Rachel Watts|83.6|90.0|9.4|CSE|27 May 2023 20:45:22+0800|5
Brandon Barker|BRAN|BRAN00018|Jesse Perez|82.0|75.5 %|8.6|MECH|20 Jun 2022 14:51:01+0000|6
Erik Herrera|ERIK|ERIK00019|Benjamin Williams|90.0|90.2 %|8.1|MECH|27 Jan 2023 09:39:52+0530|9
Michael Green|MICH|MICH00020|Becky Morris|97.0|80.3|7.5|MECH|12 Jan 2023 16:51:01+0530|5
Andrew Diaz|ANDR|ANDR00021|Shannon Lopez|75.4|99.1 Perc|8.4|CSE-AI|20 Apr 2023 06:39:50+0000|4
Pamela Harris|PAME|PAME00022|Matthew Robinson|90.8|99.6 %|9.8|MECH|20 Mar 2023 10:08:41+0800|9
Andrew Murphy|ANDR|ANDR00023|Jennifer Miller|95.9|79.4 Perc|9.2|CSE-ML|11 Mar 2023 08:58:50-0300|6
Laura Sawyer|LAUR|LAUR00024|Michael Newton|94.6|95.7|8.5|CSE|02 Nov 2022 20:24:46+0000|10
Mr. Joshua Summers DDS|MR. |MR. 00025|Andrew Davis|76.4|90.2 Perc|9.9|MECH|26 May 2023 07:11:36-0400|3
William Webster|WILL|WILL00026|Timothy Torres|95.2|79.2|7.9|CSE-ML|20 Apr 2023 02:50:45+0800|2
Alexis Dean|ALEX|ALEX00027|Alyssa Lewis|84.5|89.0|9.3|CSE-ML|15 Sep 2022 12:11:12-0300|14
Joseph Horton|JOSE|JOSE00028|Shane Gallegos|83.5|77.1 Perc|9.8|CSE-ML|04 Oct 2022 20:37:53+0000|4
Brandon Barker|BRAN|BRAN00029|Sharon Sosa|99.4|92.1 Perc|7.6|MECH|13 Sep 2022 21:00:35+0800|5
Timothy Rodriguez|TIMO|TIMO00030|Monica Oneill|91.1|77.5 %|7.6|CSE-AI|08 Mar 2023 03:33:02+0800|3
Pamela Harris|PAME|PAME00031|John White|78.1|79.1 Perc|9.1|CSE-ML|31 Jul 2022 22:57:06+0000|0
Joseph Horton|JOSE|JOSE00032|James Harrington|96.0|81.2 %|9.8|CSE|30 Sep 2022 03:21:36+0530|3
Erik Herrera|ERIK|ERIK00033|Sandra Evans|84.3|90.2 Perc|9.5|MECH|15 Nov 2022 03:30:58+0000|10
Timothy Rodriguez|TIMO|TIMO00034|Emily Bennett|91.8|78.6 Perc|9.3|CSE|06 Oct 2022 17:14:46+0530|0
Christopher Mcneil|CHRI|CHRI00035|Janet Arnold|83.7|94.6 Perc|9.1|CSE-AI|13 Sep 2022 21:00:35+0800|11
Timothy Rodriguez|TIMO|TIMO00036|Jacob Moore|76.4|77.6 %|8.5|CSE|25 May 2023 19:39:02+0800|4
Timothy Rodriguez|TIMO|TIMO00037|Rachael Zimmerman|81.8|75.3|7.5|CSE|31 Dec 2022 11:18:07-0300|8
Michelle Pineda|MICH|MICH00038|Sarah Velez DDS|87.6|95.7|8.7|CSE-AI|11 Mar 2023 08:58:50-0300|7
Mr. Joshua Summers DDS|MR. |MR. 00039|Melissa Cox|98.4|81.4 %|9.1|MECH|04 Oct 2022 20:37:53+0000|1
Alexis Dean|ALEX|ALEX00040|Kristin Parker|91.8|94.2 %|7.5|MECH|21 Jul 2022 02:42:34-0400|10
Andrew Murphy|ANDR|ANDR00041|William Sparks|90.1|99.1 %|9.3|CSE-ML|04 Jan 2023 06:06:00+0000|6
Traci Maynard|TRAC|TRAC00042|Jennifer Chambers|87.8|78.1 Perc|9.3|CSE-ML|04 Jun 2023 11:17:22+0530|6
Michelle Pineda|MICH|MICH00043|Janet Farley|84.3|92.3|9.6|CSE|17 Mar 2023 21:01:38+0800|12
Andrew Murphy|ANDR|ANDR00044|Nichole Hill|89.8|99.3 Perc|9.0|MECH|20 Aug 2022 20:48:19+0800|4
Pamela Harris|PAME|PAME00045|Sarah Robinson|88.6|80.6 %|8.7|MECH|23 Jun 2022 20:41:14+0530|10
Lauren Jones|LAUR|LAUR00046|Rhonda Anderson|86.9|87.1|8.2|MECH|28 Dec 2022 06:30:05-0300|7
Christopher Mcneil|CHRI|CHRI00047|Kathy Anthony|98.7|76.5|9.0|CSE-ML|01 Feb 2023 01:37:28+0800|2
Ryan Gonzalez|RYAN|RYAN00048|Kelly Johnson|83.4|75.2 %|7.5|CSE-AI|09 Aug 2022 16:40:49+0530|14
Ryan Gonzalez|RYAN|RYAN00049|Daniel Ortiz|84.4|75.8|8.2|MECH|26 Aug 2022 03:40:36+0000|14
Andrew Diaz|ANDR|ANDR00050|Tammy Fuller|78.7|77.9|8.4|MECH|17 Dec 2022 01:38:57+0800|2
Raymond Russell|RAYM|RAYM00051|Kimberly Hammond|92.8|82.1 %|9.0|MECH|04 Dec 2022 12:07:56+0000|7
Traci Maynard|TRAC|TRAC00052|Christopher Armstrong|95.3|92.4 Perc|9.3|CSE|17 Jan 2023 00:58:03+0800|7
Mitchell Scott|MITC|MITC00053|Todd Compton|79.2|76.2 %|8.5|MECH|22 May 2023 00:23:29+0530|11
Joseph Horton|JOSE|JOSE00054|Laura Phillips|81.9|94.3|9.6|CSE-ML|15 Jul 2022 10:04:06+0530|14
Lauren Jones|LAUR|LAUR00055|Dr. Stacy Hernandez MD|99.2|90.9 Perc|8.7|MECH|07 Jun 2023 01:56:44+0800|4
Traci Maynard|TRAC|TRAC00056|Katherine Thompson|86.1|89.9 %|8.3|CSE-ML|07 Jun 2022 21:35:52-0400|10
William Webster|WILL|WILL00057|Mr. Brian Dixon|85.3|82.6 Perc|8.6|MECH|23 Oct 2022 18:19:24-0300|11
Brandon Barker|BRAN|BRAN00058|Melissa Murray|83.4|96.2 %|8.5|CSE|04 May 2023 19:50:54-0400|0
Timothy Rodriguez|TIMO|TIMO00059|Kimberly Flores|81.5|93.2|9.3|MECH|05 May 2023 04:48:39-0400|0
Andrew Diaz|ANDR|ANDR00060|Eric Kelly|76.0|80.5|8.8|CSE-ML|05 May 2023 09:19:59+0800|4
Timothy Rodriguez|TIMO|TIMO00061|Richard Jackson|95.4|83.8 Perc|8.4|CSE-ML|07 Nov 2022 17:01:14+0800|8
Joseph Horton|JOSE|JOSE00062|Jeffrey Mccall|91.6|86.0 %|9.6|MECH|09 Aug 2022 02:22:41+0800|13
Traci Maynard|TRAC|TRAC00063|Michael Davis|83.2|98.7 Perc|8.8|CSE-AI|20 Mar 2023 21:25:44+0530|9
Lauren Jones|LAUR|LAUR00064|Tina Landry|95.2|82.7 Perc|9.7|CSE-AI|19 Jul 2022 16:10:04+0530|14
Ryan Gonzalez|RYAN|RYAN00065|Johnny Gomez|97.8|87.8|9.6|MECH|21 Aug 2022 23:51:59-0400|11
Traci Maynard|TRAC|TRAC00066|Melissa Garcia|77.8|80.7|9.6|CSE|28 Sep 2022 09:30:58+0800|8
William Webster|WILL|WILL00067|David Reed|91.8|91.0 %|9.8|MECH|23 May 2023 00:35:57+0000|12
Michael Green|MICH|MICH00068|Preston Wilson|80.7|91.4 %|9.4|CSE|03 Sep 2022 15:08:29+0000|1
Michael Green|MICH|MICH00069|Monica Dunn|80.1|83.1 Perc|7.9|CSE|21 Apr 2023 18:32:15+0000|4
Mr. Joshua Summers DDS|MR. |MR. 00070|Tammy Campos|94.9|88.7 %|9.1|CSE|11 Sep 2022 08:38:12+0530|8
William Webster|WILL|WILL00071|Jean Freeman|89.8|96.0 %|9.0|MECH|05 Sep 2022 02:15:57+0800|7
Cheryl Adams|CHER|CHER00072|Robert Shaw|83.8|87.6|7.7|CSE-ML|15 Jul 2022 10:04:06+0530|6
Brandon Barker|BRAN|BRAN00073|Michelle Hodge|97.0|76.7|8.8|CSE|04 Oct 2022 08:47:25+0000|5
Lauren Jones|LAUR|LAUR00074|John Warren|95.4|84.2 %|8.1|MECH|31 Aug 2022 23:40:44+0800|4
Michael Green|MICH|MICH00075|Frances Johnston|86.1|92.4 %|8.4|CSE|13 Sep 2022 11:05:22+0800|13
Pamela Harris|PAME|PAME00076|Todd Ward|76.3|95.1|9.9|MECH|28 Feb 2023 21:11:03-0300|2
Andrew Diaz|ANDR|ANDR00077|Alex Henry|92.2|94.2 %|8.7|MECH|03 Jul 2022 13:39:43+0000|0
Timothy Rodriguez|TIMO|TIMO00078|Scott Parrish|98.3|82.0|8.3|CSE|25 May 2023 19:39:02+0800|11
Mr. Joshua Summers DDS|MR. |MR. 00079|Michael Nichols|80.8|86.3 %|9.1|CSE-AI|15 Aug 2022 05:30:59+0530|5
Brandon Barker|BRAN|BRAN00080|Brianna Brown|75.5|79.6|8.0|CSE|17 Sep 2022 06:52:03+0000|5
Andrew Diaz|ANDR|ANDR00081|Paul Zamora|94.9|77.7 %|7.5|CSE|24 Feb 2023 23:29:49+0800|7
Mr. Joshua Summers DDS|MR. |MR. 00082|Robert Pace|81.4|84.2|8.3|CSE|18 Apr 2023 20:06:14+0000|2
Alexis Dean|ALEX|ALEX00083|Sandra Ortiz|77.2|75.9 Perc|9.8|CSE-AI|23 Sep 2022 11:32:00+0000|4
Pamela Harris|PAME|PAME00084|Ryan Callahan|92.5|98.4 Perc|9.6|MECH|30 Sep 2022 03:21:36+0530|4
William Webster|WILL|WILL00085|Crystal Wheeler|89.9|98.0 Perc|8.1|CSE-AI|13 Apr 2023 01:33:42-0400|7
Mitchell Scott|MITC|MITC00086|Misty Vasquez|84.3|96.8 %|8.0|CSE-AI|10 Jul 2022 00:44:14+0800|9
William Webster|WILL|WILL00087|Mark Ross|92.6|89.7 Perc|8.0|CSE-ML|19 Aug 2022 11:47:52+0000|10
Laura Sawyer|LAUR|LAUR00088|Christopher Parsons|99.9|96.0 %|9.4|MECH|08 Oct 2022 09:46:37+0800|12
Alexis Dean|ALEX|ALEX00089|Cheyenne Poole|79.5|84.0|7.7|MECH|10 Jan 2023 23:52:06+0800|1
Michelle Pineda|MICH|MICH00090|Brett Barr|80.3|99.6 %|8.9|MECH|06 Nov 2022 18:37:47+0530|2
Andrew Diaz|ANDR|ANDR00091|Douglas Miller|85.5|82.7|9.2|CSE-AI|13 Mar 2023 17:11:18-0300|0
Brandon Barker|BRAN|BRAN00092|Tammy Munoz|97.9|95.1 %|9.4|MECH|17 Nov 2022 10:41:40+0800|14
Pamela Harris|PAME|PAME00093|Matthew Shepherd|87.6|92.4 Perc|9.2|CSE|22 May 2023 10:53:25+0530|4
William Webster|WILL|WILL00094|Mary Ruiz|88.2|88.3|9.7|CSE-ML|17 Jul 2022 07:55:36+0000|6
Pamela Harris|PAME|PAME00095|Cristina Webster|84.4|81.9 Perc|9.9|MECH|24 Mar 2023 14:47:26+0530|3
Alexis Dean|ALEX|ALEX00096|Ariana Myers|79.4|83.0 Perc|9.7|CSE-AI|06 Mar 2023 05:31:35+0800|4
Erik Herrera|ERIK|ERIK00097|Matthew Taylor|95.7|92.0 Perc|9.5|CSE|20 Jan 2023 21:08:38-0300|10
William Webster|WILL|WILL00098|Derek Herrera|92.7|89.2 %|9.0|MECH|20 Oct 2022 10:33:01+0530|8
Laura Sawyer|LAUR|LAUR00099|Brett King|80.1|93.2 Perc|8.9|MECH|13 Dec 2022 16:03:27+0800|8
Brandon Barker|BRAN|BRAN00100|Carolyn Medina|95.2|83.9|8.0|CSE-ML|12 Oct 2022 20:30:37+0800|0
William Webster|WILL|WILL00101|Jason Morris|78.5|93.1 %|8.9|MECH|15 Jul 2022 10:04:06+0530|8
Alexis Dean|ALEX|ALEX00102|Lauren Downs|93.2|98.6 Perc|8.6|CSE-ML|04 Oct 2022 20:37:53+0000|14
Raymond Russell|RAYM|RAYM00103|Stephen Brandt|97.5|85.8|9.0|MECH|19 Dec 2022 11:12:53-0300|3
Lauren Jones|LAUR|LAUR00104|Matthew Castro|88.4|85.2 %|7.5|CSE-ML|12 May 2023 18:51:16+0800|7
Joseph Horton|JOSE|JOSE00105|Anthony Williams|87.7|98.3|9.8|MECH|30 Jun 2022 18:52:02+0800|5
Joseph Horton|JOSE|JOSE00106|Jonathan Garrett|96.1|97.5 Perc|7.9|MECH|22 Oct 2022 15:49:52+0000|0
Joseph Horton|JOSE|JOSE00107|Mrs. Brianna Shepard|97.9|92.5 Perc|8.5|CSE|04 Oct 2022 20:37:53+0000|4
Andrew Diaz|ANDR|ANDR00108|Ricardo Ross|91.2|82.8 %|8.0|CSE|26 Nov 2022 17:02:35+0000|11
Andrew Murphy|ANDR|ANDR00109|Megan Vazquez|83.0|97.0 Perc|8.9|CSE|08 Feb 2023 19:21:46+0000|2
Mitchell Scott|MITC|MITC00110|Andrew Maldonado|86.8|84.7|8.9|CSE-AI|03 Oct 2022 13:49:09+0530|5
Michelle Pineda|MICH|MICH00111|Justin Ramirez|89.9|77.9|8.0|CSE-ML|24 Nov 2022 07:44:17+0800|2
Mr. Joshua Summers DDS|MR. |MR. 00112|Margaret Perez|80.1|85.2 %|8.9|MECH|23 Dec 2022 04:31:03-0300|8
Cheryl Adams|CHER|CHER00113|Michael Weber|76.3|87.6 %|8.5|CSE-ML|06 Jul 2022 12:27:15-0400|5
Lauren Jones|LAUR|LAUR00114|Leslie Brock|94.2|89.7 Perc|9.7|CSE-ML|25 Apr 2023 06:03:48+0800|0
Michelle Pineda|MICH|MICH00115|Charles Becker|75.4|96.4|7.7|MECH|22 Jun 2022 07:09:27-0400|9
Michelle Pineda|MICH|MICH00116|Jose Walsh|93.4|93.4 %|7.7|CSE-AI|28 Mar 2023 03:57:14+0000|11
William Webster|WILL|WILL00117|Christopher Keller|89.4|86.4 Perc|8.2|CSE|18 Mar 2023 23:39:11+0800|2
Alexis Dean|ALEX|ALEX00118|Heather Osborne|99.5|80.4 %|8.8|MECH|06 Dec 2022 22:44:05+0800|3
Lauren Jones|LAUR|LAUR00119|Jeremiah Gomez|95.0|84.7 %|9.7|CSE|21 Jun 2022 10:21:23+0800|4
Michelle Pineda|MICH|MICH00120|Lawrence Perez|75.0|81.7|8.9|CSE-AI|03 Feb 2023 20:40:18+0800|0
Joseph Horton|JOSE|JOSE00121|Timothy Smith|82.5|98.8 Perc|7.5|CSE-ML|04 Oct 2022 08:47:25+0000|3
Traci Maynard|TRAC|TRAC00122|Aimee Kim|75.4|92.3|8.5|CSE-ML|01 Jan 2023 08:33:06+0530|3
Lauren Jones|LAUR|LAUR00123|Taylor Holder|91.3|98.3 Perc|9.8|CSE-ML|04 May 2023 19:50:54-0400|8
